text,genre
"heavy guitar riffs and loud drums pounding with distortion",1
"soft melody with acoustic piano and gentle vocals",0
"electric guitar solo shredding with fast tempo metal",1
"smooth jazz saxophone playing over calm background",0
"screaming vocals with heavy bass and aggressive drums",1
"beautiful orchestral strings with soft flute harmony",0
"hard rock anthem with power chords and headbanging rhythm",1
"peaceful acoustic guitar fingerpicking with birds chirping",0
"thundering double bass pedal with growling death metal vocals",1
"mellow piano ballad with romantic love song lyrics",0
"distorted bass drop with intense moshing breakdown",1
"gentle ukulele strumming with happy cheerful melody",0
"punk rock fast drums with rebellious angry lyrics",1
"classical violin concerto with elegant symphony orchestra",0
"thrash metal speed riffs with chaotic drum fills",1
"soothing ambient sounds with calm relaxing nature vibes",0
"loud crashing cymbals with roaring guitar amplifier feedback",1
"sweet lullaby with soft humming and tender voice",0
"hardcore screamo with blast beats and heavy breakdowns",1
"delicate harp playing with angelic choir singing softly",0
"raw garage rock with fuzzy overdriven guitar tone",1
"bossa nova rhythm with smooth gentle singing voice",0
"intense drum solo with heavy metal guitar shredding",1
"acoustic folk song with harmonica and campfire vibes",0
"grunge distortion with angsty depressive dark lyrics",1
"light pop melody with catchy upbeat dance rhythm",0
"doom metal slow heavy riffs with crushing low tuning",1
"tender whispered vocals with soft piano accompaniment",0
"aggressive thrashing with circle pit energy and rage",1
"calm meditation music with singing bowls and chimes",0
"power metal epic chorus with soaring high vocals",1
"easy listening smooth elevator music with saxophone",0
"noise rock experimental with harsh feedback screeching",1
"romantic serenade with spanish classical guitar playing",0
"industrial metal grinding machines with electronic distortion",1
"cozy coffeehouse acoustic with warm fingerstyle guitar",0
"furious blast beats with tremolo picking black metal",1
"whispery asmr vocals with dreamy atmospheric pads",0
"stomp and shout arena rock with crowd chanting",1
"quiet nighttime jazz lounge with brushed snare drums",0
